country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2025 10:00:00",23.016834,72.625775,SO2,15,109,33
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2025 10:00:00",23.016834,72.625775,OZONE,5,115,29
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-04-2025 10:00:00",23.023389,72.515201,PM2.5,16,57,26
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-04-2025 10:00:00",23.023389,72.515201,SO2,10,45,25
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-04-2025 10:00:00",23.023389,72.515201,CO,NA,NA,NA
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","14-04-2025 10:00:00",28.531346,77.190156,NO2,15,100,50
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.672342,77.315260,NO2,15,104,57
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.672342,77.315260,NH3,1,7,2
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-04-2025 10:00:00",28.672342,77.315260,SO2,8,31,15
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","14-04-2025 10:00:00",28.699793,77.165453,PM10,123,398,221
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","14-04-2025 10:00:00",28.699793,77.165453,NO2,34,198,114
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","14-04-2025 10:00:00",28.699793,77.165453,SO2,11,34,20
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","14-04-2025 10:00:00",21.613267,73.010555,NH3,7,7,7
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","14-04-2025 10:00:00",21.613267,73.010555,CO,6,50,29
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","14-04-2025 10:00:00",23.163798,72.677768,OZONE,4,38,14
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","14-04-2025 10:00:00",23.221714,72.654328,CO,19,20,20
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","14-04-2025 10:00:00",23.221714,72.654328,OZONE,22,23,22
India,Delhi,Delhi,"Pusa, Delhi - DPCC","14-04-2025 10:00:00",28.639652,77.146275,CO,2,61,27
India,Delhi,Delhi,"Pusa, Delhi - IMD","14-04-2025 10:00:00",28.636110,77.173332,PM10,103,275,149
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","14-04-2025 10:00:00",28.563262,77.186937,SO2,24,85,52
India,Delhi,Delhi,"Rohini, Delhi - DPCC","14-04-2025 10:00:00",28.732528,77.119920,PM2.5,55,324,208
India,Delhi,Delhi,"Mundka, Delhi - DPCC","14-04-2025 10:00:00",28.684678,77.076574,OZONE,5,183,12
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","14-04-2025 10:00:00",28.60909,77.0325413,OZONE,12,59,15
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","14-04-2025 10:00:00",28.530785,77.271255,NH3,9,11,10
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","14-04-2025 10:00:00",28.530785,77.271255,OZONE,3,275,18
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","14-04-2025 10:00:00",11.55358,76.55521,OZONE,13,38,17
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","14-04-2025 10:00:00",13.428828,77.731418,NH3,4,6,5
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","14-04-2025 10:00:00",13.328028,75.797056,PM2.5,10,30,20
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","14-04-2025 10:00:00",13.328028,75.797056,PM10,24,36,29
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","14-04-2025 10:00:00",13.328028,75.797056,SO2,1,9,3
